lsoa,Rent_per_m,green_space,safety,schools
E01000001,2106.3333333333335,0.533333333,0.9969517089999999,0.82
E01000002,2184.5,0.533333333,0.998556073,0.7799999999999999
E01000003,1212.7142857142858,0.5187876188571429,0.9995186909999999,0.79
E01000005,965.25,0.5307333332499999,0.988609017,0.83
E01000006,807.4,0.2,0.984277234,0.75
E01000007,527.5,0.5982766665,0.947537301,0.76
E01000008,540.75,0.37476166675,0.943686828,0.77
E01000009,698.4,0.23661333359999998,0.9406385370000001,0.76
E01000010,593.25,0.6349675003749999,0.807957645,0.75
E01000011,753.0,0.40534166675,0.971281887,0.77
E01000012,576.2,0.4025880002,0.960693085,0.77
E01000013,633.4,0.27612000020000005,0.953794321,0.73
E01000014,726.3333333333334,0.3400277778333334,0.9709610139999999,0.73
E01000015,590.0,0.45061999999999997,0.9793037059999999,0.77
E01000016,687.4,0.24845066700000001,0.976255415,0.75
E01000017,655.0,0.36692,0.9873255249999999,0.73
E01000018,655.8,0.3391186666,0.982351997,0.74
E01000019,705.75,0.21760000024999998,0.977057597,0.72
E01000020,685.4,0.21192799999999998,0.986844216,0.74
E01000021,673.6,0.376996,0.970479705,0.72
E01000022,710.5,0.32084000025,0.983795925,0.72
E01000023,651.0,0.5698155553333334,0.9565217389999999,0.69
E01000024,692.75,0.47241666699999996,0.988127707,0.72
E01000025,651.4,0.67412,0.978341088,0.72
E01000027,696.8,0.350969333,0.9566821759999999,0.67
E01000028,618.8,0.37368400020000003,0.984277234,0.65
E01000029,821.6666666666666,0.27165777783333334,0.9690357769999999,0.73
E01000030,664.0,0.4784555556666667,0.976576288,0.68
E01000031,747.6,0.191796,0.9807476339999999,0.78
E01000032,829.0,0.1777386668,0.9751323600000001,0.8100000000000002
E01000033,701.5,0.466666667,0.981549815,0.74
E01000034,692.75,0.52017500025,0.975613669,0.74
E01000035,638.8,0.630432,0.962939195,0.73
E01000036,765.75,0.52025500025,0.980105888,0.73
E01000037,817.0,0.7523880000000001,0.99069469,0.73
E01000038,821.8,0.6903800002,0.987004653,0.73
E01000039,727.6,0.5807799998000001,0.988127707,0.74
E01000040,681.8,0.3974733332,0.9778597789999999,0.72
E01000041,668.2,0.6165746668,0.987165089,0.72
E01000042,621.4,0.45911333340000005,0.9557195569999999,0.72
E01000043,745.0,0.3222066665,0.978501524,0.71
E01000044,723.0,0.2018893336,0.973527996,0.72
E01000045,648.8,0.5469546665999999,0.941119846,0.74
E01000046,687.2,0.7092226668,0.9821915610000002,0.72
E01000048,596.6,0.2541666666,0.9905342530000001,0.71
E01000049,609.2,0.4553173332,0.9499438469999999,0.72
E01000050,716.4,0.4137813338,0.954917375,0.74
E01000051,538.0,0.4856920004,0.9818706880000001,0.74
E01000052,691.0,0.31983222233333336,0.975613669,0.7200000000000001
E01000053,590.6,0.4510066668,0.9708005780000001,0.78
E01000054,651.8,0.5707920004,0.979785015,0.74
E01000055,640.2,0.7425653332000001,0.984277234,0.73
E01000056,642.0,0.54829666675,0.966147922,0.75
E01000057,643.75,0.45992500000000003,0.961334831,0.74
E01000058,631.6666666666666,0.502456667,0.968233595,0.8000000000000002
E01000059,623.0,0.4646546668,0.987485962,0.8
E01000060,567.1666666666666,0.46308000016666667,0.960211776,0.71
E01000061,448.2,0.5212733332,0.9518690839999999,0.68
E01000062,637.5,0.2576722225,0.961013958,0.6999999999999998
E01000063,655.6,0.3735653334,0.982031125,0.74
E01000064,616.2,0.39197866699999995,0.972886251,0.71
E01000065,672.1666666666666,0.5343166666666667,0.975934542,0.75
E01000066,826.6,0.527988,0.9749719239999999,0.77
E01000067,953.2,0.5241533333999999,0.9886090170000001,0.78
E01000068,965.25,0.2,0.978501524,0.75
E01000069,1052.5,0.38987499999999997,0.988288144,0.78
E01000070,974.8,0.3001466668,0.962778758,0.75
E01000071,940.6,0.41831333300000006,0.971923632,0.77
E01000072,688.7142857142857,0.728909524,0.96005134,0.6900000000000001
E01000073,671.8,0.6210066667999999,0.984277234,0.7
E01000074,642.4,0.5728,0.973527996,0.69
E01000075,729.4,0.5724573333999999,0.963901813,0.71
E01000076,669.0,0.523561111,0.978020215,0.6999999999999998
E01000077,676.0,0.5246520001999999,0.9691962139999999,0.72
E01000078,672.6,0.6077066668,0.978180651,0.73
E01000079,632.0,0.27196666680000003,0.982351997,0.74
E01000080,598.4,0.3716680002,0.982993743,0.72
E01000081,664.2,0.49884666639999997,0.978180651,0.73
E01000082,558.2,0.6022653334,0.9682335949999998,0.75
E01000083,668.4,0.641644,0.986523343,0.76
E01000084,641.0,0.6346100002499999,0.968554468,0.79
E01000085,645.2,0.2077466666,0.972725814,0.79
E01000086,686.5,0.4102,0.980266324,0.78
E01000087,718.25,0.18029,0.953794321,0.77
E01000088,639.6,0.3364066668,0.9650248680000001,0.8
E01000089,598.8,0.6028786668,0.98267287,0.8400000000000001
E01000090,700.75,0.34980666725,0.964864431,0.82
E01000091,587.0,0.3386053334,0.96181614,0.72
E01000092,709.8888888888889,0.3641666665555555,0.9263596980000001,0.74
E01000093,543.0,0.3032533332,0.9614952669999999,0.71
E01000094,534.2,0.4351160002,0.9821915610000002,0.76
E01000095,671.75,0.3706016665,0.918017006,0.74
E01000096,611.8333333333334,0.35138444416666664,0.95957003,0.73
E01000097,711.6,0.32941333300000003,0.9701588319999999,0.71
E01000098,776.0,0.2804093332,0.9595700299999999,0.7
E01000099,636.8,0.35275333360000005,0.9770575970000002,0.74
E01000100,652.4,0.5218133332,0.9873255249999999,0.77
E01000101,644.0,0.4385240004,0.972886251,0.74
E01000102,635.8,0.5840093333999999,0.982512434,0.8100000000000002
E01000103,644.0,0.6789240002,0.9650248680000001,0.73
E01000104,580.3333333333334,0.8336977781666667,0.970640141,0.7399999999999999
E01000105,512.1666666666666,0.21511555550000003,0.922830098,0.81
E01000106,570.7142857142857,0.26770476185714287,0.958767849,0.82
E01000107,742.8,0.39457066679999997,0.985239852,0.72
E01000108,683.6,0.24895333339999998,0.967752286,0.72
E01000109,765.6,0.1594493334,0.973527996,0.74
E01000110,888.75,0.3058,0.991175999,0.81
E01000111,738.8333333333334,0.06393,0.964062249,0.77
E01000112,681.4,0.07730000000000001,0.965506177,0.8
E01000113,758.0,0.05651199999999999,0.964222686,0.82
E01000114,688.5,0.22127555533333332,0.95202952,0.7200000000000001
E01000115,1724.75,0.22086666675,0.994545163,0.83
E01000116,1147.0,0.24513600019999998,0.986362907,0.82
E01000117,986.4,0.3776306668,0.98267287,0.77
E01000118,1076.8,0.2510866666,0.9817102519999998,0.8
E01000119,1488.5,0.233295,0.992138617,0.83
E01000120,1332.75,0.206935,0.985400289,0.81
E01000121,806.5,0.3432833335,0.981549815,0.79
E01000122,1259.0,0.29584999975000004,0.985239852,0.84
E01000123,907.2,0.5964133333999999,0.982512434,0.78
E01000124,922.2,0.4407133334,0.968073159,0.78
E01000125,609.0,0.27071500000000004,0.932295845,0.71
E01000126,606.8333333333334,0.10473333350000001,0.980747634,0.77
E01000127,555.5,0.2398983335,0.983795925,0.75
E01000128,756.8,0.23126266680000002,0.9630996310000001,0.79
E01000129,545.0,0.35327866659999996,0.923953153,0.77
E01000130,642.6,0.117708,0.977538906,0.76
E01000131,866.0,0.11367200020000001,0.9744906140000001,0.78
E01000132,699.5,0.287165,0.985079416,0.71
E01000133,704.2,0.3658200002,0.985881598,0.72
E01000134,727.4,0.17288666660000002,0.981068506,0.74
E01000135,2863.0,0.23702499999999999,0.98491898,0.79
E01000136,5143.25,0.53904000025,0.978020215,0.87
E01000137,1191.8,0.3396453336,0.984277234,0.72
E01000138,1207.0,0.07403666675,0.962618322,0.75
E01000139,2262.0,0.266525,0.974169742,0.73
E01000140,1713.8,0.45752666680000004,0.9836354889999999,0.73
E01000141,823.6666666666666,0.07409333333333333,0.914647842,0.71
E01000142,907.25,0.0013575,0.975613669,0.77
E01000143,1374.0,0.00274499975,0.977538906,0.72
E01000144,2256.0,0.2059893336,0.947216429,0.8400000000000001
E01000145,2240.5,0.027145,0.983154179,0.84
E01000146,2102.8,0.3378066668,0.9048612229999999,0.79
E01000147,1058.0,0.34,0.98844858,0.75
E01000148,613.4,0.2426933332,0.957163485,0.74
E01000150,762.6666666666666,0.6284133336666667,0.965506177,0.7399999999999999
E01000151,737.4,0.0536519998,0.9663083589999999,0.8400000000000001
E01000152,671.4,0.28477600000000003,0.977538906,0.75
E01000153,693.0,0.233872,0.951227338,0.76
E01000154,673.0,0.04208,0.983154179,0.79
E01000155,531.1428571428571,0.13771904757142855,0.972886251,0.7700000000000001
E01000156,1463.8,0.152544,0.9722445050000001,0.82
E01000157,818.0,0.0423786666,0.9847585430000001,0.7
E01000158,999.4,0.17397733319999997,0.9759345419999998,0.79
E01000159,1248.4,0.32215999980000004,0.983314616,0.82
E01000160,1026.0,0.13541333316666668,0.95957003,0.75
